 
****************************************
Report : power
        -cell
        -analysis_effort low
        -verbose
        -sort_mode cell_internal_power
Design : cv32e40p_controller_COREV_CLUSTER
Version: T-2022.03-SP3
Date   : Sun Jun  1 19:52:43 2025
****************************************


Library(s) Used:

    saed32rvt_tt0p78v25c (File: /usr/local/synopsys/pdk/SAED32_EDK/lib/stdcell_rvt/db_ccs/saed32rvt_tt0p78v25c.db)


Operating Conditions: tt0p78v25c   Library: saed32rvt_tt0p78v25c
Wire Load Model Mode: enclosed

Design        Wire Load Model            Library
------------------------------------------------
cv32e40p_controller_COREV_CLUSTER
                       8000              saed32rvt_tt0p78v25c


Global Operating Voltage = 0.78 
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1pW



  Attributes
  ----------
      h  -  Hierarchical cell

                        Cell      Driven Net  Tot Dynamic      Cell
                        Internal  Switching   Power            Leakage
Cell                    Power     Power       (% Cell/Tot)     Power      Attrs
--------------------------------------------------------------------------------
   C2065       A1                A2'    0.0125      0.0000              d f
   C2065       A1                       0.0125      0.0000              d r
   C2065       A1                       0.0125      0.0000              d f
   C2065       A2                A1'    0.0125      0.0000              d r
   C2065       A2                A1'    0.0125      0.0000              d f
   C2065       A2                       0.0125      0.0000              d r
   C2065       A2                       0.0125      0.0000              d f
   C2065       Y        A1              0.0122      0.0000                r
   C2065       Y        A1              0.0122      0.0000                f
   C2065       Y        A2              0.0122      0.0000                r
   C2065       Y        A2              0.0122      0.0000                f
C2065  (Cell Total)                                 0.0000    56926.7109
   C2066       A1                A2'    0.0125      0.0000              d r
   C2066       A1                A2'    0.0125      0.0000              d f
   C2066       A1                       0.0125      0.0000              d r
   C2066       A1                       0.0125      0.0000              d f
   C2066       A2                A1'    0.0125      0.0000              d r
   C2066       A2                A1'    0.0125      0.0000              d f
   C2066       A2                       0.0125      0.0000              d r
   C2066       A2                       0.0125      0.0000              d f
   C2066       Y        A1              0.0123      0.0000                r
   C2066       Y        A1              0.0123      0.0000                f
   C2066       Y        A2              0.0123      0.0000                r
   C2066       Y        A2              0.0123      0.0000                f
C2066  (Cell Total)                                 0.0000    56926.7109
   C2069       A1                A2'    0.0123      0.0000                r
   C2069       A1                A2'    0.0123      0.0000                f
   C2069       A1                       0.0123      0.0000                r
   C2069       A1                       0.0123      0.0000                f
   C2069       A2                A1'    0.0188      0.0000              d r
   C2069       A2                A1'    0.0188      0.0000              d f
   C2069       A2                       0.0062      0.0000              d r
   C2069       A2                       0.0062      0.0000              d f
   C2069       Y        A1              0.0121      0.0000                r
   C2069       Y        A1              0.0121      0.0000                f
   C2069       Y        A2              0.0061      0.0000                r
   C2069       Y        A2              0.0061      0.0000                f
C2069  (Cell Total)                                 0.0000    56926.7109
   C2070       A1                A2'    0.0217      0.0000              d r
   C2070       A1                A2'    0.0217      0.0000              d f
   C2070       A1                       0.0033      0.0000              d r
   C2070       A1                       0.0033      0.0000              d f
   C2070       A2                A1'    0.0091      0.0000                r
   C2070       A2                A1'    0.0091      0.0000                f
   C2070       A2                       0.0091      0.0000                r
   C2070       A2                       0.0091      0.0000                f
   C2070       Y        A1              0.0031      0.0000                r
   C2070       Y        A1              0.0031      0.0000                f
   C2070       Y        A2              0.0087      0.0000                r
   C2070       Y        A2              0.0087      0.0000                f
C2070  (Cell Total)                                 0.0000    56926.7109
   C2071       A1                A2'    0.0156      0.0000                r
   C2071       A1                A2'    0.0156      0.0000                f
   C2071       A1                       0.0092      0.0000                r
   C2071       A1                       0.0092      0.0000                f
   C2071       A2                A1'    0.0156      0.0000                r
   C2071       A2                A1'    0.0156      0.0000                f
   C2071       A2                       0.0115      0.0000                r
   C2071       A2                       0.0115      0.0000                f
   C2071       Y        A1              0.0067      0.0000                r
   C2071       Y        A1              0.0067      0.0000                f
   C2071       Y        A2              0.0084      0.0000                r
   C2071       Y        A2              0.0084      0.0000                f
C2071  (Cell Total)                                 0.0000    56926.7109
   C2073       A1                A2'    0.0054      0.0000                r
   C2073       A1                A2'    0.0054      0.0000                f
   C2073       A1                       0.0296      0.0000                r
   C2073       A1                       0.0296      0.0000                f
   C2073       A2                A1'    0.0059      0.0000                r
   C2073       A2                A1'    0.0059      0.0000                f
   C2073       A2                       0.0019      0.0000                r
   C2073       A2                       0.0019      0.0000                f
   C2073       Y        A1              0.0293      0.0000                r
   C2073       Y        A1              0.0293      0.0000                f
   C2073       Y        A2              0.0019      0.0000                r
   C2073       Y        A2              0.0019      0.0000                f
C2073  (Cell Total)                                 0.0000    56926.7109
   C2075       A1                A2'    0.0019      0.0000                r
   C2075       A1                A2'    0.0019      0.0000                f
   C2075       A1                       0.0059      0.0000                r
   C2075       A1                       0.0059      0.0000                f
   C2075       A2                A1'    0.0054      0.0000                r
   C2075       A2                A1'    0.0054      0.0000                f
   C2075       A2                       0.0296      0.0000                r
   C2075       A2                       0.0296      0.0000                f
   C2075       Y        A1              0.0059      0.0000                r
   C2075       Y        A1              0.0059      0.0000                f
   C2075       Y        A2              0.0292      0.0000                r
   C2075       Y        A2              0.0292      0.0000                f
C2075  (Cell Total)                                 0.0000    56926.7109
   C2076       A1                A2'    0.0091      0.0000              d r
   C2076       A1                A2'    0.0091      0.0000              d f
   C2076       A1                       0.0159      0.0000              d r
   C2076       A1                       0.0159      0.0000              d f
   C2076       A2                A1'    0.0176      0.0000                r
   C2076       A2                A1'    0.0176      0.0000                f
   C2076       A2                       0.0176      0.0000                r
   C2076       A2                       0.0176      0.0000                f
   C2076       Y        A1              0.0160      0.0000                r
   C2076       Y        A1              0.0160      0.0000                f
   C2076       Y        A2              0.0176      0.0000                r
   C2076       Y        A2              0.0176      0.0000                f
C2076  (Cell Total)                                 0.0000    56926.7109
   C2077       A1                A2'    0.0125      0.0000              d r
   C2077       A1                A2'    0.0125      0.0000              d f
   C2077       A1                       0.0125      0.0000              d r
   C2077       A1                       0.0125      0.0000              d f
   C2077       A2                A1'    0.0125      0.0000              d r
   C2077       A2                A1'    0.0125      0.0000              d f
   C2077       A2                       0.0125      0.0000              d r
   C2077       A2                       0.0125      0.0000              d f
   C2077       Y        A1              0.0121      0.0000                r
   C2077       Y        A1              0.0121      0.0000                f
   C2077       Y        A2              0.0121      0.0000                r
   C2077       Y        A2              0.0121      0.0000                f
C2077  (Cell Total)                                 0.0000    56926.7109
   C2078       A1                A2'    0.0060      0.0000              d r
   C2078       A1                A2'    0.0060      0.0000              d f
   C2078       A1                       0.0190      0.0000              d r
   C2078       A1                       0.0190      0.0000              d f
   C2078       A2                A1'    0.0115      0.0000                r
   C2078       A2                A1'    0.0115      0.0000                f
   C2078       A2                       0.0115      0.0000                r
   C2078       A2                       0.0115      0.0000                f
   C2078       Y        A1              0.0181      0.0000                r
   C2078       Y        A1              0.0181      0.0000                f
   C2078       Y        A2              0.0110      0.0000                r
   C2078       Y        A2              0.0110      0.0000                f
C2078  (Cell Total)                                 0.0000    56926.7109
   C2079       A1                A2'    0.0115      0.0000                r
   C2079       A1                A2'    0.0115      0.0000                f
   C2079       A1                       0.0115      0.0000                r
   C2079       A1                       0.0115      0.0000                f
   C2079       A2                A1'    0.0060      0.0000              d r
   C2079       A2                A1'    0.0060      0.0000              d f
   C2079       A2                       0.0190      0.0000              d r
   C2079       A2                       0.0190      0.0000              d f
   C2079       Y        A1              0.0110      0.0000                r
   C2079       Y        A1              0.0110      0.0000                f
   C2079       Y        A2              0.0181      0.0000                r
   C2079       Y        A2              0.0181      0.0000                f
C2079  (Cell Total)                                 0.0000    56926.7109
   C2080       A1                A2'   5.5e-04      0.0000                r
   C2080       A1                A2'   5.5e-04      0.0000                f
   C2080       A1                      3.6e-04      0.0000                r
   C2080       A1                      3.6e-04      0.0000                f
   C2080       A2                A1'    0.0288      0.0000                r
   C2080       A2                A1'    0.0288      0.0000                f
   C2080       A2                      2.8e-04      0.0000                r
   C2080       A2                      2.8e-04      0.0000                f
   C2080       Y        A1             5.3e-04      0.0000                r
   C2080       Y        A1             5.3e-04      0.0000                f
   C2080       Y        A2             4.0e-04      0.0000                r
   C2080       Y        A2             4.0e-04      0.0000                f
C2080  (Cell Total)                                 0.0000    56926.7109
   C2084       A1                A2'    0.0030      0.0000              d r
   C2084       A1                A2'    0.0030      0.0000              d f
   C2084       A1                       0.0220      0.0000              d r
   C2084       A1                       0.0220      0.0000              d f
   C2084       A2                A1'    0.0113      0.0000                r
   C2084       A2                A1'    0.0113      0.0000                f
   C2084       A2                       0.0113      0.0000                r
   C2084       A2                       0.0113      0.0000                f
   C2084       Y        A1              0.0213      0.0000                r
   C2084       Y        A1              0.0213      0.0000                f
   C2084       Y        A2              0.0109      0.0000                r
   C2084       Y        A2              0.0109      0.0000                f
C2084  (Cell Total)                                 0.0000    56926.7109
   C2085       A1                A2'   5.0e-04      0.0000                r
   C2085       A1                A2'   5.0e-04      0.0000                f
   C2085       A1                      3.9e-04      0.0000                r
   C2085       A1                      3.9e-04      0.0000                f
   C2085       A2                A1'    0.0321      0.0000                r
   C2085       A2                A1'    0.0321      0.0000                f
   C2085       A2                      1.4e-04      0.0000                r
   C2085       A2                      1.4e-04      0.0000                f
   C2085       Y        A1             2.4e-04      0.0000                r
   C2085       Y        A1             2.4e-04      0.0000                f
   C2085       Y        A2             8.4e-05      0.0000                r
   C2085       Y        A2             8.4e-05      0.0000                f
C2085  (Cell Total)                                 0.0000    56926.7109
   C2086       A1                A2'   3.8e-04      0.0000              d r
   C2086       A1                A2'   3.8e-04      0.0000              d f
   C2086       A1                       0.0246      0.0000              d r
   C2086       A1                       0.0246      0.0000              d f
   C2086       A2                A1'    0.0039      0.0000                r
   C2086       A2                A1'    0.0039      0.0000                f
   C2086       A2                       0.0039      0.0000                r
   C2086       A2                       0.0039      0.0000                f
   C2086       Y        A1              0.0251      0.0000                r
   C2086       Y        A1              0.0251      0.0000                f
   C2086       Y        A2              0.0040      0.0000                r
   C2086       Y        A2              0.0040      0.0000                f
C2086  (Cell Total)                                 0.0000    56926.7109
   C2087       A1                A2'    0.0117      0.0000                r
   C2087       A1                A2'    0.0117      0.0000                f
   C2087       A1                       0.0117      0.0000                r
   C2087       A1                       0.0117      0.0000                f
   C2087       A2                A1'    0.0046      0.0000              d r
   C2087       A2                A1'    0.0046      0.0000              d f
   C2087       A2                       0.0204      0.0000              d r
   C2087       A2                       0.0204      0.0000              d f
   C2087       Y        A1              0.0114      0.0000                r
   C2087       Y        A1              0.0114      0.0000                f
   C2087       Y        A2              0.0199      0.0000                r
   C2087       Y        A2              0.0199      0.0000                f
C2087  (Cell Total)                                 0.0000    56926.7109
   C2094       A1                A2     0.0064      0.0000                r
   C2094       A1                A2     0.0064      0.0000                f
   C2094       A1                       0.0184      0.0000                r
   C2094       A1                       0.0184      0.0000                f
   C2094       A2                A1     0.0063      0.0000                r
   C2094       A2                A1     0.0063      0.0000                f
   C2094       A2                       0.0183      0.0000                r
   C2094       A2                       0.0183      0.0000                f
   C2094       Y        A1              0.0179      0.0000                r
   C2094       Y        A1              0.0179      0.0000                f
   C2094       Y        A2              0.0179      0.0000                r
   C2094       Y        A2              0.0179      0.0000                f
C2094  (Cell Total)                                 0.0000    58360.9609
   C2095       A1                A2'    0.0125      0.0000              d r
   C2095       A1                A2'    0.0125      0.0000              d f
   C2095       A1                       0.0125      0.0000              d r
   C2095       A1                       0.0125      0.0000              d f
   C2095       A2                A1'    0.0125      0.0000              d r
   C2095       A2                A1'    0.0125      0.0000              d f
   C2095       A2                       0.0125      0.0000              d r
   C2095       A2                       0.0125      0.0000              d f
   C2095       Y        A1              0.0124      0.0000                r
   C2095       Y        A1              0.0124      0.0000                f
   C2095       Y        A2              0.0124      0.0000                r
   C2095       Y        A2              0.0124      0.0000                f
C2095  (Cell Total)                                 0.0000    56926.7109
   C2096       A1                A2'    0.0125      0.0000              d r
   C2096       A1                A2'    0.0125      0.0000              d f
   C2096       A1                       0.0125      0.0000              d r
   C2096       A1                       0.0125      0.0000              d f
   C2096       A2                A1'    0.0125      0.0000              d r
   C2096       A2                A1'    0.0125      0.0000              d f
   C2096       A2                       0.0125      0.0000              d r
   C2096       A2                       0.0125      0.0000              d f
   C2096       Y        A1              0.0123      0.0000                r
   C2096       Y        A1              0.0123      0.0000                f
   C2096       Y        A2              0.0123      0.0000                r
   C2096       Y        A2              0.0123      0.0000                f
C2096  (Cell Total)                                 0.0000    56926.7109
   C2098       A1                A2     0.0119      0.0000                r
   C2098       A1                A2     0.0119      0.0000                f
   C2098       A1                       0.0119      0.0000                r
   C2098       A1                       0.0119      0.0000                f
   C2098       A2                A1     0.0188      0.0000              d r
   C2098       A2                A1     0.0188      0.0000              d f
   C2098       A2                       0.0062      0.0000              d r
   C2098       A2                       0.0062      0.0000              d f
   C2098       Y        A1              0.0111      0.0000                r
   C2098       Y        A1              0.0111      0.0000                f
   C2098       Y        A2              0.0058      0.0000                r
   C2098       Y        A2              0.0058      0.0000                f
C2098  (Cell Total)                                 0.0000    58360.9609
   C2099       A1                A2     0.0125      0.0000              d r
   C2099       A1                A2     0.0125      0.0000              d f
   C2099       A1                       0.0125      0.0000              d r
   C2099       A1                       0.0125      0.0000              d f
   C2099       A2                A1     0.0125      0.0000              d r
   C2099       A2                A1     0.0125      0.0000              d f
   C2099       A2                       0.0125      0.0000              d r
   C2099       A2                       0.0125      0.0000              d f
   C2099       Y        A1              0.0119      0.0000                r
   C2099       Y        A1              0.0119      0.0000                f
   C2099       Y        A2              0.0119      0.0000                r
   C2099       Y        A2              0.0119      0.0000                f
C2099  (Cell Total)                                 0.0000    58360.9609
   C2101       A1                A2'    0.0026      0.0000                r
   C2101       A1                A2'    0.0026      0.0000                f
   C2101       A1                      8.8e-04      0.0000                r
   C2101       A1                      8.8e-04      0.0000                f
   C2101       A2                A1'    0.0241      0.0000                r
   C2101       A2                A1'    0.0241      0.0000                f
   C2101       A2                      1.8e-04      0.0000                r
   C2101       A2                      1.8e-04      0.0000                f
   C2101       Y        A1             7.6e-04      0.0000                r
   C2101       Y        A1             7.6e-04      0.0000                f
   C2101       Y        A2             1.6e-04      0.0000                r
   C2101       Y        A2             1.6e-04      0.0000                f
C2101  (Cell Total)                                 0.0000    56926.7109
   C2107       A1                A2     0.0090      0.0000                r
   C2107       A1                A2     0.0090      0.0000                f
   C2107       A1                       0.0265      0.0000                r
   C2107       A1                       0.0265      0.0000                f
   C2107       A2                A1     0.0106      0.0000                r
   C2107       A2                A1     0.0106      0.0000                f
   C2107       A2                       0.0138      0.0000                r
   C2107       A2                       0.0138      0.0000                f
   C2107       Y        A1              0.0258      0.0000                r
   C2107       Y        A1              0.0258      0.0000                f
   C2107       Y        A2              0.0134      0.0000                r
   C2107       Y        A2              0.0134      0.0000                f
C2107  (Cell Total)                                 0.0000    58360.9609
   C2108       A1                A2     0.0061      0.0000                r
   C2108       A1                A2     0.0061      0.0000                f
   C2108       A1                       0.0188      0.0000                r
   C2108       A1                       0.0188      0.0000                f
   C2108       A2                A1     0.0061      0.0000                r
   C2108       A2                A1     0.0061      0.0000                f
   C2108       A2                       0.0176      0.0000                r
   C2108       A2                       0.0176      0.0000                f
   C2108       Y        A1              0.0183      0.0000                r
   C2108       Y        A1              0.0183      0.0000                f
   C2108       Y        A2              0.0171      0.0000                r
   C2108       Y        A2              0.0171      0.0000                f
C2108  (Cell Total)                                 0.0000    58360.9609
   C2109       A1                A2'    0.0125      0.0000              d r
   C2109       A1                A2'    0.0125      0.0000              d f
   C2109       A1                       0.0125      0.0000              d r
   C2109       A1                       0.0125      0.0000              d f
   C2109       A2                A1'    0.0125      0.0000              d r
   C2109       A2                A1'    0.0125      0.0000              d f
   C2109       A2                       0.0125      0.0000              d r
   C2109       A2                       0.0125      0.0000              d f
   C2109       Y        A1              0.0125      0.0000                r
   C2109       Y        A1              0.0125      0.0000                f
   C2109       Y        A2              0.0125      0.0000                r
   C2109       Y        A2              0.0125      0.0000                f
C2109  (Cell Total)                                 0.0000    56926.7109
   C2110       A1                A2'    0.0125      0.0000              d r
   C2110       A1                A2'    0.0125      0.0000              d f
   C2110       A1                       0.0125      0.0000              d r
   C2110       A1                       0.0125      0.0000              d f
   C2110       A2                A1'    0.0125      0.0000              d r
   C2110       A2                A1'    0.0125      0.0000              d f
   C2110       A2                       0.0125      0.0000              d r
   C2110       A2                       0.0125      0.0000              d f
   C2110       Y        A1              0.0118      0.0000                r
   C2110       Y        A1              0.0118      0.0000                f
   C2110       Y        A2              0.0118      0.0000                r
   C2110       Y        A2              0.0118      0.0000                f
C2110  (Cell Total)                                 0.0000    56926.7109
   C2111       A1                A2'    0.0125      0.0000              d r
   C2111       A1                A2'    0.0125      0.0000              d f
   C2111       A1                       0.0125      0.0000              d r
   C2111       A1                       0.0125      0.0000              d f
   C2111       A2                A1'    0.0125      0.0000              d r
   C2111       A2                A1'    0.0125      0.0000              d f
   C2111       A2                       0.0125      0.0000              d r
   C2111       A2                       0.0125      0.0000              d f
   C2111       Y        A1              0.0122      0.0000                r
   C2111       Y        A1              0.0122      0.0000                f
   C2111       Y        A2              0.0122      0.0000                r
   C2111       Y        A2              0.0122      0.0000                f
C2111  (Cell Total)                                 0.0000    56926.7109
   C2114       A1                A2     0.0063      0.0000              d r
   C2114       A1                A2     0.0063      0.0000              d f
   C2114       A1                       0.0187      0.0000              d r
   C2114       A1                       0.0187      0.0000              d f
   C2114       A2                A1     0.0122      0.0000                r
   C2114       A2                A1     0.0122      0.0000                f
   C2114       A2                       0.0122      0.0000                r
   C2114       A2                       0.0122      0.0000                f
   C2114       Y        A1              0.0181      0.0000                r
   C2114       Y        A1              0.0181      0.0000                f
   C2114       Y        A2              0.0118      0.0000                r
   C2114       Y        A2              0.0118      0.0000                f
C2114  (Cell Total)                                 0.0000    58360.9609
   C2115       A1                A2'    0.0125      0.0000              d r
   C2115       A1                A2'    0.0125      0.0000              d f
   C2115       A1                       0.0125      0.0000              d r
   C2115       A1                       0.0125      0.0000              d f
   C2115       A2                A1'    0.0125      0.0000              d r
   C2115       A2                A1'    0.0125      0.0000              d f
   C2115       A2                       0.0125      0.0000              d r
   C2115       A2                       0.0125      0.0000              d f
   C2115       Y        A1              0.0122      0.0000                r
   C2115       Y        A1              0.0122      0.0000                f
   C2115       Y        A2              0.0122      0.0000                r
   C2115       Y        A2              0.0122      0.0000                f
C2115  (Cell Total)                                 0.0000    56926.7109
   C2140       A1                A2'    0.0125      0.0000              d r
   C2140       A1                A2'    0.0125      0.0000              d f
   C2140       A1                       0.0125      0.0000              d r
   C2140       A1                       0.0125      0.0000              d f
   C2140       A2                A1'    0.0125      0.0000              d r
   C2140       A2                A1'    0.0125      0.0000              d f
   C2140       A2                       0.0125      0.0000              d r
   C2140       A2                       0.0125      0.0000              d f
   C2140       Y        A1              0.0128      0.0000                r
   C2140       Y        A1              0.0128      0.0000                f
   C2140       Y        A2              0.0128      0.0000                r
   C2140       Y        A2              0.0128      0.0000                f
C2140  (Cell Total)                                 0.0000    56926.7109
   C2141       A1                A2'   2.3e-04      0.0000                r
   C2141       A1                A2'   2.3e-04      0.0000                f
   C2141       A1                      2.3e-04      0.0000                r
   C2141       A1                      2.3e-04      0.0000                f
   C2141       A2                A1'    0.0249      0.0000              d r
   C2141       A2                A1'    0.0249      0.0000              d f
   C2141       A2                      6.0e-05      0.0000              d r
   C2141       A2                      6.0e-05      0.0000              d f
   C2141       Y        A1             1.7e-04      0.0000                r
   C2141       Y        A1             1.7e-04      0.0000                f
   C2141       Y        A2             4.4e-05      0.0000                r
   C2141       Y        A2             4.4e-05      0.0000                f
C2141  (Cell Total)                                 0.0000    56926.7109
   C2144       A1                A2     0.0132      0.0000              d r
   C2144       A1                A2     0.0132      0.0000              d f
   C2144       A1                       0.0118      0.0000              d r
   C2144       A1                       0.0118      0.0000              d f
   C2144       A2                A1     0.0119      0.0000                r
   C2144       A2                A1     0.0119      0.0000                f
   C2144       A2                       0.0119      0.0000                r
   C2144       A2                       0.0119      0.0000                f
   C2144       Y        A1              0.0115      0.0000                r
   C2144       Y        A1              0.0115      0.0000                f
   C2144       Y        A2              0.0116      0.0000                r
   C2144       Y        A2              0.0116      0.0000                f
C2144  (Cell Total)                                 0.0000    58360.9609
   C2146       A1                A2     0.0124      0.0000                r
   C2146       A1                A2     0.0124      0.0000                f
   C2146       A1                       0.0124      0.0000                r
   C2146       A1                       0.0124      0.0000                f
   C2146       A2                A1     0.0150      0.0000              d r
   C2146       A2                A1     0.0150      0.0000              d f
   C2146       A2                       0.0100      0.0000              d r
   C2146       A2                       0.0100      0.0000              d f
   C2146       Y        A1              0.0121      0.0000                r
   C2146       Y        A1              0.0121      0.0000                f
   C2146       Y        A2              0.0097      0.0000                r
   C2146       Y        A2              0.0097      0.0000                f
C2146  (Cell Total)                                 0.0000    58360.9609
   C2147       A1                A2     0.0049      0.0000                r
   C2147       A1                A2     0.0049      0.0000                f
   C2147       A1                       0.0049      0.0000                r
   C2147       A1                       0.0049      0.0000                f
   C2147       A2                A1     0.0049      0.0000              d r
   C2147       A2                A1     0.0049      0.0000              d f
   C2147       A2                       0.0201      0.0000              d r
   C2147       A2                       0.0201      0.0000              d f
   C2147       Y        A1              0.0049      0.0000                r
   C2147       Y        A1              0.0049      0.0000                f
   C2147       Y        A2              0.0199      0.0000                r
   C2147       Y        A2              0.0199      0.0000                f
C2147  (Cell Total)                                 0.0000    58360.9609
   C2148       A1                A2    8.0e-04      0.0000                r
   C2148       A1                A2    8.0e-04      0.0000                f
   C2148       A1                       0.0070      0.0000                r
   C2148       A1                       0.0070      0.0000                f
   C2148       A2                A1    8.3e-04      0.0000                r
   C2148       A2                A1    8.3e-04      0.0000                f
   C2148       A2                       0.0045      0.0000                r
   C2148       A2                       0.0045      0.0000                f
   C2148       Y        A1              0.0060      0.0000                r
   C2148       Y        A1              0.0060      0.0000                f
   C2148       Y        A2              0.0039      0.0000                r
   C2148       Y        A2              0.0039      0.0000                f
C2148  (Cell Total)                                 0.0000    58360.9609
   C2149       A1                A2     0.0108      0.0000                r
   C2149       A1                A2     0.0108      0.0000                f
   C2149       A1                       0.0108      0.0000                r
   C2149       A1                       0.0108      0.0000                f
   C2149       A2                A1     0.0197      0.0000              d r
   C2149       A2                A1     0.0197      0.0000              d f
   C2149       A2                       0.0053      0.0000              d r
   C2149       A2                       0.0053      0.0000              d f
   C2149       Y        A1              0.0102      0.0000                r
   C2149       Y        A1              0.0102      0.0000                f
   C2149       Y        A2              0.0051      0.0000                r
   C2149       Y        A2              0.0051      0.0000                f
C2149  (Cell Total)                                 0.0000    58360.9609
   C2150       A1                A2     0.0114      0.0000                r
   C2150       A1                A2     0.0114      0.0000                f
   C2150       A1                       0.0114      0.0000                r
   C2150       A1                       0.0114      0.0000                f
   C2150       A2                A1     0.0141      0.0000              d r
   C2150       A2                A1     0.0141      0.0000              d f
   C2150       A2                       0.0109      0.0000              d r
   C2150       A2                       0.0109      0.0000              d f
   C2150       Y        A1              0.0110      0.0000                r
   C2150       Y        A1              0.0110      0.0000                f
   C2150       Y        A2              0.0105      0.0000                r
   C2150       Y        A2              0.0105      0.0000                f
C2150  (Cell Total)                                 0.0000    58360.9609
   C2151       A1                A2     0.0042      0.0000                r
   C2151       A1                A2     0.0042      0.0000                f
   C2151       A1                       0.0037      0.0000                r
   C2151       A1                       0.0037      0.0000                f
   C2151       A2                A1     0.0037      0.0000                r
   C2151       A2                A1     0.0037      0.0000                f
   C2151       A2                       0.0201      0.0000                r
   C2151       A2                       0.0201      0.0000                f
   C2151       Y        A1              0.0035      0.0000                r
   C2151       Y        A1              0.0035      0.0000                f
   C2151       Y        A2              0.0192      0.0000                r
   C2151       Y        A2              0.0192      0.0000                f
C2151  (Cell Total)                                 0.0000    58360.9609
   C2152       A1                A2'    0.0223      0.0000              d r
   C2152       A1                A2'    0.0223      0.0000              d f
   C2152       A1                       0.0027      0.0000              d r
   C2152       A1                       0.0027      0.0000              d f
   C2152       A2                A1'    0.0076      0.0000                r
   C2152       A2                A1'    0.0076      0.0000                f
   C2152       A2                       0.0076      0.0000                r
   C2152       A2                       0.0076      0.0000                f
   C2152       Y        A1              0.0026      0.0000                r
   C2152       Y        A1              0.0026      0.0000                f
   C2152       Y        A2              0.0073      0.0000                r
   C2152       Y        A2              0.0073      0.0000                f
C2152  (Cell Total)                                 0.0000    56926.7109
   C2160       A1                A2'    0.0039      0.0000                r
   C2160       A1                A2'    0.0039      0.0000                f
   C2160       A1                       0.0039      0.0000                r
   C2160       A1                       0.0039      0.0000                f
   C2160       A2                A1'    0.0211      0.0000              d r
   C2160       A2                A1'    0.0211      0.0000              d f
   C2160       A2                       0.0039      0.0000              d r
   C2160       A2                       0.0039      0.0000              d f
   C2160       Y        A1              0.0030      0.0000                r
   C2160       Y        A1              0.0030      0.0000                f
   C2160       Y        A2              0.0030      0.0000                r
   C2160       Y        A2              0.0030      0.0000                f
C2160  (Cell Total)                                 0.0000    56926.7109
   C2170       A1                A2     0.0054      0.0000                r
   C2170       A1                A2     0.0054      0.0000                f
   C2170       A1                       0.0023      0.0000                r
   C2170       A1                       0.0023      0.0000                f
   C2170       A2                A1     0.0021      0.0000                r
   C2170       A2                A1     0.0021      0.0000                f
   C2170       A2                       0.0126      0.0000                r
   C2170       A2                       0.0126      0.0000                f
   C2170       Y        A1              0.0012      0.0000                r
   C2170       Y        A1              0.0012      0.0000                f
   C2170       Y        A2              0.0066      0.0000                r
   C2170       Y        A2              0.0066      0.0000                f
C2170  (Cell Total)                                 0.0000    58360.9609
   C2187       A1                A2'    0.0230      0.0000                r
   C2187       A1                A2'    0.0230      0.0000                f
   C2187       A1                      8.0e-04      0.0000                r
   C2187       A1                      8.0e-04      0.0000                f
   C2187       A2                A1'    0.0091      0.0000                r
   C2187       A2                A1'    0.0091      0.0000                f
   C2187       A2                       0.0081      0.0000                r
   C2187       A2                       0.0081      0.0000                f
   C2187       Y        A1             8.0e-04      0.0000                r
   C2187       Y        A1             8.0e-04      0.0000                f
   C2187       Y        A2              0.0081      0.0000                r
   C2187       Y        A2              0.0081      0.0000                f
C2187  (Cell Total)                                 0.0000    56926.7109
   C2188       A1                A2    2.9e-04      0.0000                r
   C2188       A1                A2    2.9e-04      0.0000                f
   C2188       A1                       0.0169      0.0000                r
   C2188       A1                       0.0169      0.0000                f
   C2188       A2                A1     0.0058      0.0000                r
   C2188       A2                A1     0.0058      0.0000                f
   C2188       A2                       0.0031      0.0000                r
   C2188       A2                       0.0031      0.0000                f
   C2188       Y        A1              0.0142      0.0000                r
   C2188       Y        A1              0.0142      0.0000                f
   C2188       Y        A2              0.0026      0.0000                r
   C2188       Y        A2              0.0026      0.0000                f
C2188  (Cell Total)                                 0.0000    58360.9609
   C2190       A1                A2    8.0e-06      0.0000                r
   C2190       A1                A2    8.0e-06      0.0000                f
   C2190       A1                       0.0169      0.0000                r
   C2190       A1                       0.0169      0.0000                f
   C2190       A2                A1    8.2e-05      0.0000                r
   C2190       A2                A1    8.2e-05      0.0000                f
   C2190       A2                      4.0e-05      0.0000                r
   C2190       A2                      4.0e-05      0.0000                f
   C2190       Y        A1              0.0168      0.0000                r
   C2190       Y        A1              0.0168      0.0000                f
   C2190       Y        A2             4.0e-05      0.0000                r
   C2190       Y        A2             4.0e-05      0.0000                f
C2190  (Cell Total)                                 0.0000    58360.9609
   C2192       A1                A2'    0.0215      0.0000                r
   C2192       A1                A2'    0.0215      0.0000                f
   C2192       A1                      1.0e-05      0.0000                r
   C2192       A1                      1.0e-05      0.0000                f
   C2192       A2                A1'   2.6e-05      0.0000                r
   C2192       A2                A1'   2.6e-05      0.0000                f
   C2192       A2                      9.6e-05      0.0000                r
   C2192       A2                      9.6e-05      0.0000                f
